country,date,doing_business,gdppc
Bermuda,2003-01-01,,88727.3112693061
Bermuda,2002-01-01,,86364.153739107
Bermuda,2001-01-01,,88231.783860841
Bermuda,2000-01-01,,83181.5263421175
Bermuda,1999-01-01,,76772.3238467835
Bermuda,1998-01-01,,74677.0924239116
Bermuda,1997-01-01,,72403.8804374561
Bermuda,1996-01-01,,69643.4075205287
Bermuda,1995-01-01,,68313.3818545185
Bermuda,1994-01-01,,65904.7204209603
Bermuda,1993-01-01,,65967.8500138776
Bermuda,1992-01-01,,64385.4074102651
Bermuda,1991-01-01,,63958.8962542416
Bermuda,1990-01-01,,65961.4062778196
Bermuda,1989-01-01,,
Bermuda,1988-01-01,,
Bermuda,1987-01-01,,
Bermuda,1986-01-01,,
Bermuda,1985-01-01,,
Bermuda,1984-01-01,,
Bermuda,1983-01-01,,
Bermuda,1982-01-01,,
Bermuda,1981-01-01,,
Bermuda,1980-01-01,,
Bermuda,1979-01-01,,
Bermuda,1978-01-01,,
Bermuda,1977-01-01,,
Bermuda,1976-01-01,,
Bermuda,1975-01-01,,
Bermuda,1974-01-01,,
Bermuda,1973-01-01,,
Bermuda,1972-01-01,,
Bermuda,1971-01-01,,
Bermuda,1970-01-01,,
Bermuda,1969-01-01,,
Bermuda,1968-01-01,,
Bermuda,1967-01-01,,
Bermuda,1966-01-01,,
Bermuda,1965-01-01,,
Bermuda,1964-01-01,,
Bermuda,1963-01-01,,
Bermuda,1962-01-01,,
Bermuda,1961-01-01,,
Bermuda,1960-01-01,,
Barbados,2020-01-01,,12870.0425037649
Barbados,2019-01-01,57.90615,15639.0478442375
Barbados,2018-01-01,57.6745,15674.9043195592
Barbados,2017-01-01,57.67127,15789.0411622149
Barbados,2016-01-01,57.76071,15738.0786618241
Barbados,2015-01-01,57.67895,15382.7656890531
Barbados,2014-01-01,,15041.5547480584
Barbados,2013-01-01,,15088.4413511106
Barbados,2012-01-01,,15335.848046216
Barbados,2011-01-01,,15444.7463207601
Barbados,2010-01-01,,15596.6168113309
Barbados,2009-01-01,,16019.7146273444
Barbados,2008-01-01,,16946.6709613034
Barbados,2007-01-01,,16903.8729554071
Barbados,2006-01-01,,16612.7345662264
Barbados,2005-01-01,,15752.3601314013
Barbados,2004-01-01,,15210.0718404141
Barbados,2003-01-01,,15050.4034602071
Barbados,2002-01-01,,14778.8722467196
Barbados,2001-01-01,,14713.4035365796
Barbados,2000-01-01,,15124.4362400335
Barbados,1999-01-01,,14537.0020282853
Barbados,1998-01-01,,14548.8183416476
Barbados,1997-01-01,,14086.065609887
Barbados,1996-01-01,,13505.7981330451
Barbados,1995-01-01,,13042.6157319939
Barbados,1994-01-01,,12836.3812807789
Barbados,1993-01-01,,12632.1897441016
Barbados,1992-01-01,,12579.4681689116
Barbados,1991-01-01,,13388.5891086477
Barbados,1990-01-01,,13984.1925159608
Barbados,1989-01-01,,
Barbados,1988-01-01,,
Barbados,1987-01-01,,
Barbados,1986-01-01,,
Barbados,1985-01-01,,
Barbados,1984-01-01,,
Barbados,1983-01-01,,
Barbados,1982-01-01,,
Barbados,1981-01-01,,
Barbados,1980-01-01,,
Barbados,1979-01-01,,
Barbados,1978-01-01,,
Barbados,1977-01-01,,
Barbados,1976-01-01,,
Barbados,1975-01-01,,
Barbados,1974-01-01,,
Barbados,1973-01-01,,
Barbados,1972-01-01,,
Barbados,1971-01-01,,
Barbados,1970-01-01,,
Barbados,1969-01-01,,
Barbados,1968-01-01,,
Barbados,1967-01-01,,
Barbados,1966-01-01,,
Barbados,1965-01-01,,
Barbados,1964-01-01,,
Barbados,1963-01-01,,
Barbados,1962-01-01,,
Barbados,1961-01-01,,
Barbados,1960-01-01,,
Brunei Darussalam,2020-01-01,,62243.5831517924
Brunei Darussalam,2019-01-01,70.06387,62098.0113423415
Brunei Darussalam,2018-01-01,69.63482,60389.1846472589
Brunei Darussalam,2017-01-01,67.68007,60994.5315563275
Brunei Darussalam,2016-01-01,62.85225,60867.2918657417
Brunei Darussalam,2015-01-01,57.45747,63147.4834900843
Brunei Darussalam,2014-01-01,,64190.8241471541
Brunei Darussalam,2013-01-01,,66715.6926477592
Brunei Darussalam,2012-01-01,,69090.341492818
Brunei Darussalam,2011-01-01,,69388.8131973129
Brunei Darussalam,2010-01-01,,67753.4217667143
Brunei Darussalam,2009-01-01,,66851.1170370043
Brunei Darussalam,2008-01-01,,68856.1616923591
Brunei Darussalam,2007-01-01,,71051.7107888333
Brunei Darussalam,2006-01-01,,71843.5233564564
Brunei Darussalam,2005-01-01,,69787.8222042953
Brunei Darussalam,2004-01-01,,70616.6200359784
Brunei Darussalam,2003-01-01,,71483.1808953436
Brunei Darussalam,2002-01-01,,70771.5988195667
Brunei Darussalam,2001-01-01,,69483.9048609962
Brunei Darussalam,2000-01-01,,69022.8801555068
Brunei Darussalam,1999-01-01,,68540.8209299076
Brunei Darussalam,1998-01-01,,67986.1383522654
Brunei Darussalam,1997-01-01,,69939.9771764035
Brunei Darussalam,1996-01-01,,72695.1521137332
Brunei Darussalam,1995-01-01,,72446.9016285935
Brunei Darussalam,1994-01-01,,71176.3419341277
Brunei Darussalam,1993-01-01,,70908.808193536
Brunei Darussalam,1992-01-01,,72705.7280387677
Brunei Darussalam,1991-01-01,,71405.3781168295
Brunei Darussalam,1990-01-01,,71232.7894299057
Brunei Darussalam,1989-01-01,,
Brunei Darussalam,1988-01-01,,
Brunei Darussalam,1987-01-01,,
Brunei Darussalam,1986-01-01,,
Brunei Darussalam,1985-01-01,,
Brunei Darussalam,1984-01-01,,
Brunei Darussalam,1983-01-01,,
Brunei Darussalam,1982-01-01,,
Brunei Darussalam,1981-01-01,,
Brunei Darussalam,1980-01-01,,
Brunei Darussalam,1979-01-01,,
Brunei Darussalam,1978-01-01,,
Brunei Darussalam,1977-01-01,,
Brunei Darussalam,1976-01-01,,
Brunei Darussalam,1975-01-01,,
Brunei Darussalam,1974-01-01,,
Brunei Darussalam,1973-01-01,,
Brunei Darussalam,1972-01-01,,
Brunei Darussalam,1971-01-01,,
Brunei Darussalam,1970-01-01,,
Brunei Darussalam,1969-01-01,,
Brunei Darussalam,1968-01-01,,
Brunei Darussalam,1967-01-01,,
Brunei Darussalam,1966-01-01,,
Brunei Darussalam,1965-01-01,,
Brunei Darussalam,1964-01-01,,
Brunei Darussalam,1963-01-01,,
Brunei Darussalam,1962-01-01,,
Brunei Darussalam,1961-01-01,,
