Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Zavidovici,2014,69.36329137,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,0.419517895,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,2.50332377,0.258904205,0,0.830043234,0.815789388,-8.361248471,16.95911097
Banovici,2006,68.45849163,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,0.554105586,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,4.433997744,0.109063558,0,0.882358263,0.892135868,1.847737107,12.3338401
Banovici,2010,65.25914323,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,0.554105586,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,4.433997744,0.109063558,0,0.882358263,0.886548665,1.838206779,12.27022415
Banovici,2014,85.9564008,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,0.554105586,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,4.433997744,0.109063558,0,0.882358263,0.880961462,1.826730384,12.19361801
Zivince,2006,55.81056649,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,0.656927451,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,1.524195462,0.0675392,0,0.847449736,0.86409725,6.649093054,8.44086418
Zivince,2010,49.91312406,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,0.656927451,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,1.524195462,0.0675392,0,0.847449736,0.854584385,6.522014284,8.279540729
Zivince,2014,65.76952237,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,0.656927451,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,1.524195462,0.0675392,0,0.847449736,0.84507152,6.421463033,8.151893326
Bosansko Grahovo (Grahovo),2006,27.37430168,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,0.901839222,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,1.203224642,0.745999278,0,0.711529993,0.649537799,-46.07007576,55.44507576
Bosansko Grahovo (Grahovo),2010,88.9290012,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,0.901839222,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,1.203224642,0.745999278,0,0.711529993,0.68496191,-46.57730972,56.05552896
Bosansko Grahovo (Grahovo),2014,79.49479941,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,0.901839222,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,1.203224642,0.745999278,0,0.711529993,0.720386021,-48.74749499,58.66733467
Glamoc,2006,62.71777003,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,0.656884361,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,3.898991503,0.690860002,0,0.349349513,0.476938448,-32.00734394,61.05671154
Glamoc,2010,83.66583541,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,0.656884361,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,3.898991503,0.690860002,0,0.349349513,0.404030485,-33.6695279,64.22746781
Glamoc,2014,87.52672844,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,0.656884361,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,3.898991503,0.690860002,0,0.349349513,0.331122522,-35.41760722,67.56207675
Sipovo,2006,98.48024316,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,0.66305995,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,1.566210925,0.385133834,0,0.869279862,0.914827532,0.482067104,10.18125723
Sipovo,2010,98.8800827,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,0.66305995,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,1.566210925,0.385133834,0,0.869279862,0.888800292,0.49652433,10.48659384
Sipovo,2014,97.05733984,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,0.66305995,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,1.566210925,0.385133834,0,0.869279862,0.862773052,0.512820513,10.83076923
Donji Vakuf,2006,71.5778098,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,0.45523881,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,4.66916558,0.505215124,0,0.915652106,0.962066535,-15.3596386,36.95913038
Donji Vakuf,2010,55.62120977,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,0.45523881,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,4.66916558,0.505215124,0,0.915652106,0.935544004,-15.55174385,37.42138365
Donji Vakuf,2014,69.32647644,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,0.45523881,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,4.66916558,0.505215124,0,0.915652106,0.909021473,-15.76240493,37.92828685
Travnik,2006,82.69766979,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,0.35371418,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,4.47934188,0.182339887,0,0.52512786,0.758853804,-2.982154181,9.971917746
